Test_0,Test_1,Test_2,Test_3,Test_4,Test_5,Test_6,Test_7,Test_8,Test_9,Test_10,Test_11,Test_12,Test_13,Test_14,Test_15,RMA
283.14,H,Low,OP-1,True,120.6,False,True,2018.0,52.7,apr,146,1,281,1,TP-1549,False
370.26,B,Low,OP-1,True,278.42,False,True,2018.0,9.3,feb,177,2,211,3,TP-1549,False
508.2,L,Low,OP-1,True,784.9,True,True,2018.0,80.6,apr,125,2,182,1,TP-1549,False
261.36,D,Mid,OP-4,True,148.42000000000002,True,True,2018.0,6.2,feb,217,1,221,1,TP-1549,False
268.62,F,Mid,OP-1,True,1466.36,False,True,2018.0,18.6,may,7,11,351,1,TP-1549,False
348.48,C,Low,OP-17,True,68.6,True,True,2019.0,21.7,may,376,2,339,7,TP-1549,False
290.4,J,Low,OP-1,True,120.6,True,True,2018.0,58.9,nov,52,1,152,6,TP-1549,False
232.32,C,Low,OP-17,True,290.38,False,True,2018.0,71.3,jun,883,1,674,4,TP-1549,False
254.1,C,Low,OP-17,True,59.24,False,True,2018.0,24.8,apr,169,1,231,2,TP-1549,False
312.18,E,Low,OP-1,True,217.84,False,True,2018.0,52.7,nov,65,1,131,1,TP-1549,False
399.3,H,Low,OP-1,True,277.9,False,True,2018.0,83.7,oct,96,1,111,3,TP-1549,False
413.82,H,High,OP-4,True,99.54,False,True,2018.0,46.5,may,67,1,368,2,TP-1549,False
319.44,C,Low,OP-1,True,166.88,False,True,2019.0,24.8,may,37,3,303,1,TP-1549,False
268.62,C,Low,OP-17,True,193.14,True,True,2018.0,55.8,jan,540,2,115,3,TP-1549,False
225.06,C,Low,OP-17,True,5914.96,False,True,2018.0,43.4,may,8,6,267,4,TP-1549,False
181.5,H,Mid,OP-17,True,250.6,False,True,2018.0,83.7,may,223,3,89,2,TP-1549,True
145.2,J,Mid,OP-1,True,128.66,True,True,2019.0,34.1,may,172,5,371,5,TP-1549,False
239.58,F,Low,OP-1,True,1794.74,True,True,2018.0,27.9,nov,425,1,462,1,TP-1549,False
254.1,F,Low,OP-1,True,778.14,False,True,2018.0,12.4,sep,256,2,94,1,TP-1549,False
326.7,F,High,OP-1,True,263.34000000000003,False,True,2018.0,40.3,may,155,2,363,4,TP-1549,False
283.14,E,Low,OP-17,True,205.1,False,True,2018.0,55.8,nov,48,1,181,3,TP-1549,False
232.32,G,Low,,True,71.98,False,True,2018.0,65.1,nov,158,1,135,1,TP-1549,False
210.54,H,Mid,OP-17,True,56.64,True,True,2018.0,89.9,sep,87,1,120,1,TP-1549,False
239.58,D,Mid,OP-1,True,236.56,False,True,2018.0,21.7,apr,329,1,322,1,TP-1549,False
363.0,F,High,OP-1,True,38.96,False,False,2018.0,40.3,may,698,2,292,1,TP-1549,True
246.84,C,Low,OP-17,True,166.36,False,True,2018.0,52.7,apr,28,1,345,1,TP-1549,False
326.7,D,Low,OP-1,True,813.76,False,False,2018.0,58.9,nov,482,3,120,2,TP-1549,False
261.36,C,Mid,OP-17,True,116.18,False,True,2018.0,21.7,may,160,2,360,3,TP-1549,False
283.14,C,High,OP-17,True,394.9,False,True,2018.0,58.9,nov,1337,4,126,1,TP-1549,False
268.62,H,Low,OP-1,True,98.76,False,True,2018.0,15.5,may,147,2,347,1,TP-1549,False
363.0,C,High,OP-17,True,79.0,False,False,2018.0,40.3,may,157,1,299,3,TP-1549,False
261.36,E,Low,OP-17,True,184.56,True,True,2018.0,77.5,aug,47,1,120,1,TP-1549,False
232.32,D,Mid,OP-1,True,112.28,True,True,2019.0,15.5,feb,176,1,288,3,TP-1549,False
246.84,F,Mid,OP-1,True,80.3,False,True,2018.0,21.7,may,146,2,171,3,TP-1549,False
341.22,F,Low,OP-1,True,356.42,False,True,2018.0,93.0,apr,968,1,87,5,TP-1549,True
225.06,C,Mid,OP-17,True,3320.94,True,True,2018.0,27.9,sep,344,1,295,1,TP-1549,True
225.06,C,Mid,OP-17,True,82.12,False,True,2018.0,6.2,feb,159,2,271,1,TP-1549,False
312.18,B,Low,OP-4,True,30.12,False,False,2018.0,52.7,apr,313,1,147,2,TP-1549,False
370.26,A,Low,OP-1,True,49.62,False,True,2018.0,40.3,may,361,1,364,1,TP-1549,False
377.52,F,Low,OP-1,True,103.7,False,True,2018.0,55.8,feb,220,1,63,5,TP-1549,True
355.74,H,Low,OP-1,True,104.22,False,True,2018.0,40.3,apr,223,1,182,2,TP-1549,True
254.1,E,Low,OP-17,True,307.8,True,True,2018.0,6.2,aug,428,2,336,6,TP-1549,False
275.88,C,Mid,OP-17,True,2306.94,False,True,2019.0,62.0,apr,5,3,150,6,TP-1549,False
428.34,E,Low,OP-17,True,101.1,True,True,2018.0,68.2,jun,177,5,138,1,TP-1549,False
232.32,C,Mid,OP-17,True,2246.36,False,True,2018.0,52.7,apr,245,1,149,2,TP-1549,False
479.16,L,Low,OP-4,True,247.22,True,True,2019.0,86.8,jan,203,3,93,1,TP-1549,False
217.8,D,Low,OP-1,True,306.5,False,True,2018.0,40.3,may,256,2,351,2,TP-1549,False
268.62,B,Mid,OP-1,True,358.5,False,True,2018.0,46.5,may,102,1,333,2,TP-1549,False
384.78,E,Low,OP-17,True,170.26,False,True,2018.0,6.2,feb,125,1,249,2,TP-1549,False
370.26,C,Low,OP-17,True,472.12,True,True,2018.0,49.6,mar,384,1,182,5,TP-1549,False
261.36,C,Low,OP-17,True,110.72,False,True,2018.0,18.6,may,317,1,169,2,TP-1549,False
210.54,F,Low,OP-17,True,276.08000000000004,False,True,2018.0,37.2,jun,234,7,330,1,TP-1549,False
363.0,K,Low,OP-1,True,1955.42,False,True,2018.0,40.3,may,172,1,370,1,TP-1549,False
246.84,C,Mid,OP-17,True,227.98,False,False,2018.0,62.0,nov,271,1,184,1,TP-1549,False
355.74,C,Mid,OP-1,True,68.86,False,True,2018.0,89.9,jan,185,2,246,1,TP-1549,False
435.6,L,High,,True,40.26,False,True,2018.0,89.9,jan,188,1,261,2,TP-1549,False
254.1,H,Low,OP-1,True,241.5,False,True,2018.0,62.0,nov,219,7,133,1,TP-1549,False
290.4,F,Low,OP-1,True,67.56,False,False,2018.0,89.9,jan,194,1,247,1,TP-1549,False
355.74,D,Low,OP-1,True,583.14,False,True,2018.0,18.6,may,451,1,169,2,TP-1549,True
239.58,C,Mid,OP-17,True,105.26,False,True,2018.0,58.9,nov,171,1,183,1,TP-1549,False
529.98,L,Low,,True,187.94,True,True,2019.0,49.6,oct,434,1,57,1,TP-1549,True
297.66,B,Low,,True,75.88,False,True,2018.0,34.1,may,105,1,336,2,TP-1549,False
341.22,D,Low,OP-4,True,282.06,False,True,2018.0,43.4,may,143,1,370,2,TP-1549,False
363.0,C,Low,OP-17,True,-69.2,False,True,2018.0,58.9,nov,130,2,160,1,TP-1549,False
333.96,C,Low,OP-17,True,188.98,False,True,2018.0,18.6,may,105,4,366,2,TP-1549,False
246.84,K,Low,OP-17,True,53.0,True,True,2018.0,80.6,may,141,1,188,1,TP-1549,False
580.8,L,Low,OP-1,True,2212.04,True,True,2019.0,27.9,jun,712,1,64,12,TP-1549,True
304.92,H,Mid,OP-1,True,60.8,False,True,2018.0,12.4,feb,98,1,266,3,TP-1549,False
239.58,J,Mid,,True,1604.94,True,True,2018.0,12.4,sep,156,2,127,8,TP-1549,False
225.06,C,Low,OP-17,True,214.98,False,True,2018.0,40.3,may,96,2,349,5,TP-1549,False
384.78,H,Mid,OP-1,True,676.48,False,True,2018.0,6.2,aug,317,1,180,2,TP-1549,True
377.52,B,Low,OP-1,True,223.82,True,True,2019.0,21.7,jul,398,2,460,2,TP-1549,True
254.1,B,High,OP-1,True,110.46,False,True,2018.0,43.4,may,150,1,360,1,TP-1549,False
326.7,H,Low,,True,581.58,True,True,2018.0,93.0,nov,123,1,186,4,TP-1549,False
203.28,D,Low,OP-1,True,149.98000000000002,False,True,2018.0,43.4,may,10,9,344,1,TP-1549,False
428.34,K,Low,OP-1,True,53.0,True,True,2019.0,9.3,feb,722,1,99,4,TP-1549,False
312.18,F,Low,OP-1,True,53.0,True,False,2018.0,24.8,may,9,2,172,5,TP-1549,False
377.52,D,Low,OP-4,True,112.8,False,True,2018.0,18.6,may,198,2,170,2,TP-1549,False
377.52,L,Low,OP-1,True,163.24,True,True,2018.0,58.9,nov,143,1,154,3,TP-1549,False
268.62,C,Low,OP-17,True,183.52,False,True,2018.0,21.7,may,551,1,351,1,TP-1549,False
333.96,D,Low,OP-1,True,1315.3,False,True,2018.0,31.0,aug,1529,1,397,1,TP-1549,False
239.58,B,High,OP-1,True,679.86,False,True,2018.0,71.3,oct,130,1,161,1,TP-1549,True
428.34,F,Low,OP-1,True,53.26,True,True,2018.0,46.5,apr,159,2,378,3,TP-1549,True
297.66,C,Low,OP-17,True,269.32,False,False,2018.0,65.1,nov,164,1,176,1,TP-1549,False
290.4,C,Low,OP-17,True,-262.12,False,True,2018.0,46.5,may,1259,2,333,18,TP-1549,False
312.18,D,Low,OP-1,True,86.80000000000001,True,True,2018.0,15.5,may,156,1,337,3,TP-1549,False
399.3,D,High,OP-1,True,472.38,False,True,2018.0,9.3,apr,296,1,270,3,TP-1549,True
457.38,L,Low,OP-1,True,767.22,True,True,2018.0,34.1,sep,113,1,80,1,TP-1549,False
348.48,D,Low,OP-1,True,350.18,False,True,2018.0,52.7,apr,264,1,317,1,TP-1549,False
232.32,H,Low,OP-1,True,973.4,False,True,2018.0,55.8,may,213,1,178,1,TP-1549,False
275.88,D,High,OP-1,True,53.0,False,True,2018.0,34.1,may,580,1,173,1,TP-1549,False
203.28,F,Mid,OP-1,True,252.94,False,True,2018.0,46.5,may,153,1,371,2,TP-1549,False
254.1,E,Low,OP-17,True,198.6,False,True,2018.0,6.2,apr,58,1,136,1,TP-1549,False
319.44,D,Low,OP-4,True,283.62,False,True,2018.0,37.2,may,165,2,363,1,TP-1549,False
363.0,C,Low,OP-17,True,1190.24,False,True,2018.0,65.1,nov,163,2,113,3,TP-1549,False
261.36,B,Low,OP-1,True,849.64,False,True,2019.0,80.6,aug,240,3,107,4,TP-1549,False
348.48,D,Low,OP-4,True,336.92,True,False,2018.0,55.8,nov,79,1,172,8,TP-1549,False
196.02,G,Mid,OP-17,True,74.06,True,True,2018.0,15.5,feb,197,1,199,3,TP-1549,False
239.58,H,Low,OP-17,True,73.53999999999999,False,True,2018.0,68.2,oct,249,2,335,2,TP-1549,True
268.62,B,Low,OP-1,True,398.28,False,True,2019.0,40.3,may,121,2,341,4,TP-1549,False
392.04,G,Low,OP-17,True,454.44,True,False,2018.0,15.5,feb,85,7,196,3,TP-1549,False
275.88,B,Low,OP-1,True,2360.76,True,True,2018.0,6.2,feb,280,1,75,1,TP-1549,False
261.36,B,Mid,OP-1,True,161.42000000000002,False,True,2018.0,18.6,feb,15,10,207,3,TP-1549,False
421.08,L,Low,OP-1,True,183.52,False,True,2018.0,37.2,may,197,2,370,3,TP-1549,False
297.66,D,Low,OP-4,True,2064.1000000000004,False,True,2018.0,62.0,nov,220,1,190,1,TP-1549,False
203.28,C,Mid,OP-17,True,73.8,True,True,2018.0,62.0,oct,676,2,146,2,TP-1549,True
232.32,D,Mid,OP-1,True,61.58,False,True,2018.0,55.8,may,125,1,368,4,TP-1549,False
421.08,E,Low,OP-4,True,316.38,False,True,2018.0,34.1,aug,206,1,461,1,TP-1549,True
254.1,K,Low,OP-17,True,2969.94,True,True,2018.0,37.2,aug,699,2,79,1,TP-1549,False
232.32,F,Low,OP-17,True,1116.14,True,True,2018.0,80.6,may,114,7,287,3,TP-1549,False
210.54,H,Mid,OP-1,True,164.28,False,False,2018.0,21.7,may,54,1,345,2,TP-1549,False
203.28,F,Mid,OP-1,True,451.32,True,True,2018.0,68.2,may,253,1,107,5,TP-1549,False
312.18,D,Low,OP-4,True,101.88,False,True,2018.0,37.2,may,58,3,347,5,TP-1549,False
406.56,F,Low,OP-1,True,92.0,False,False,2018.0,34.1,may,102,6,349,1,TP-1549,False
413.82,F,High,OP-4,True,56.38,False,True,2018.0,24.8,may,323,2,368,2,TP-1549,False
225.06,F,Mid,OP-1,True,475.76,True,True,2018.0,21.7,may,356,2,286,3,TP-1549,False
246.84,G,Low,OP-1,True,53.52,False,False,2018.0,15.5,may,184,1,167,6,TP-1549,False
210.54,H,Low,OP-1,True,5817.46,False,True,2018.0,55.8,may,44,1,355,3,TP-1549,False
377.52,H,Low,OP-1,True,53.0,True,True,2018.0,68.2,apr,91,2,275,1,TP-1549,False
333.96,D,Low,OP-4,True,76.66,False,True,2018.0,18.6,may,29,1,356,2,TP-1549,False
166.98,D,Mid,OP-4,True,2296.02,False,True,2018.0,46.5,may,169,1,346,1,TP-1549,False
384.78,H,High,OP-1,True,59.76,False,True,2018.0,21.7,may,56,1,359,1,TP-1549,False
261.36,H,Low,OP-1,True,241.5,False,True,2018.0,83.7,feb,123,3,99,8,TP-1549,False
232.32,C,Low,OP-1,True,1669.42,False,False,2018.0,55.8,nov,486,2,181,2,TP-1549,False
370.26,C,Low,OP-17,True,98.76,False,False,,3.1,jun,8,1,687,2,TP-1549,False
232.32,F,Mid,OP-1,True,133.34,False,False,2018.0,49.6,apr,346,1,234,3,TP-1549,False
384.78,D,Low,OP-4,True,66.78,False,True,2018.0,21.7,apr,208,1,140,1,TP-1549,False
290.4,F,Low,OP-1,True,233.44,False,True,2018.0,12.4,feb,97,4,196,5,TP-1549,False
254.1,D,Low,OP-1,True,1719.86,False,False,2018.0,93.0,jan,144,1,266,2,TP-1549,False
188.76,D,Mid,OP-4,True,93.3,False,True,2018.0,89.9,jan,291,1,244,4,TP-1549,False
392.04,H,Low,OP-1,True,53.0,True,True,2018.0,86.8,jan,161,1,98,2,TP-1549,True
290.4,C,Mid,OP-17,True,445.34,True,True,2018.0,46.5,mar,144,2,124,1,TP-1549,False
196.02,B,Low,OP-1,True,67.04,False,True,2018.0,55.8,may,97,1,370,1,TP-1549,False
326.7,D,Mid,OP-1,True,53.0,False,True,2018.0,80.6,apr,1472,1,192,4,TP-1549,True
304.92,D,Mid,OP-1,True,333.8,False,False,2018.0,40.3,may,951,3,370,4,TP-1549,True
232.32,D,Low,OP-1,True,53.52,False,True,2018.0,46.5,may,16,9,309,1,TP-1549,False
370.26,C,Mid,OP-17,False,38.7,False,True,2018.0,34.1,may,281,2,266,6,TP-1549,False
602.5799999999999,L,Low,OP-4,True,163.5,True,True,2019.0,68.2,jun,883,1,140,1,TP-1549,True
406.56,D,Low,OP-4,True,268.28,False,True,2018.0,43.4,may,214,1,349,1,TP-1549,False
326.7,F,Low,OP-1,True,312.74,False,True,2018.0,62.0,nov,215,6,188,2,TP-1549,False
217.8,F,Mid,OP-17,True,361.1,False,True,2018.0,93.0,apr,284,1,339,1,TP-1549,False
181.5,C,Mid,OP-17,True,263.08000000000004,True,True,2018.0,55.8,sep,267,2,114,2,TP-1549,True
370.26,D,Low,OP-1,True,94.6,False,True,2018.0,21.7,may,136,1,359,1,TP-1549,False
217.8,H,Mid,OP-17,True,120.86,True,True,2018.0,58.9,oct,233,1,137,20,TP-1549,False
290.4,D,Low,OP-1,True,182.48,False,True,2018.0,24.8,may,55,2,298,4,TP-1549,False
246.84,F,Mid,OP-17,True,90.44,False,False,2018.0,43.4,oct,104,1,85,19,TP-1549,False
232.32,C,Mid,OP-17,True,202.24,False,True,2018.0,43.4,apr,259,2,145,3,TP-1549,False
283.14,E,Low,OP-1,True,61.06,False,True,2018.0,62.0,nov,61,2,181,4,TP-1549,False
239.58,D,High,OP-4,True,89.92,False,True,2019.0,34.1,may,41,2,300,5,TP-1549,False
392.04,L,Low,OP-1,True,349.14,False,True,2018.0,43.4,may,155,1,177,7,TP-1549,False
261.36,C,Mid,OP-17,True,451.06,False,True,2018.0,24.8,may,81,3,170,1,TP-1549,False
217.8,C,Mid,OP-17,True,241.76,False,True,2018.0,49.6,apr,39,1,342,3,TP-1549,False
254.1,C,Low,OP-17,True,196.52,False,False,2018.0,58.9,nov,314,2,124,1,TP-1549,False
413.82,L,Low,OP-4,True,-67.64,False,True,2018.0,12.4,feb,75,1,190,6,TP-1549,False
283.14,C,Mid,OP-17,True,53.0,False,True,2018.0,37.2,may,561,4,369,3,TP-1549,False
304.92,F,Mid,OP-17,True,-53.86,False,True,2018.0,37.2,may,78,5,292,3,TP-1549,False
290.4,C,Mid,OP-17,True,445.34,True,True,2018.0,37.2,may,333,1,58,3,TP-1549,False
341.22,K,Mid,OP-17,True,893.32,True,True,2019.0,18.6,oct,541,1,204,3,TP-1549,False
500.94,L,Low,OP-17,True,175.98000000000002,True,True,2018.0,21.7,jul,112,1,78,1,TP-1549,False
246.84,D,Low,OP-1,True,146.60000000000002,False,True,2019.0,58.9,nov,46,1,182,2,TP-1549,False
217.8,C,Mid,OP-17,True,53.52,True,True,2018.0,49.6,jun,102,1,85,1,TP-1549,False
225.06,H,Low,OP-1,True,154.14,False,True,2018.0,21.7,dec,69,1,185,2,TP-1549,False
268.62,K,High,OP-1,True,323.40000000000003,False,True,2018.0,40.3,may,199,1,173,2,TP-1549,False
268.62,D,Low,OP-4,True,223.3,False,True,2018.0,15.5,feb,127,2,258,4,TP-1549,False
283.14,D,Low,OP-1,True,53.0,False,True,2018.0,21.7,may,502,1,7,2,TP-1549,False
275.88,F,Low,OP-1,True,266.46000000000004,False,False,2018.0,52.7,nov,224,2,180,1,TP-1549,False
232.32,B,Mid,,True,1650.7,False,True,2018.0,43.4,may,362,1,287,13,TP-1549,False
232.32,H,Low,OP-1,True,53.0,False,False,2018.0,52.7,nov,159,2,195,2,TP-1549,False
290.4,C,High,OP-17,True,70.94,False,True,2018.0,18.6,may,503,2,280,2,TP-1549,False
377.52,D,Low,OP-1,True,595.62,False,True,2018.0,96.1,aug,267,1,474,1,TP-1549,True
297.66,L,Mid,OP-4,True,53.0,True,True,2018.0,24.8,may,239,1,368,2,TP-1549,False
239.58,B,Low,OP-1,True,1298.14,False,False,2018.0,34.1,may,220,1,339,4,TP-1549,False
297.66,F,High,OP-1,True,143.48000000000002,False,True,2018.0,21.7,may,225,2,275,2,TP-1549,False
326.7,C,Mid,OP-17,True,585.48,False,True,2018.0,55.8,oct,310,1,804,1,TP-1549,True
210.54,C,Mid,OP-17,True,58.46,False,True,2018.0,43.4,may,107,4,371,3,TP-1549,False
399.3,C,Low,OP-4,True,214.46,True,False,2018.0,6.2,feb,114,1,208,1,TP-1549,False
217.8,B,Mid,OP-1,True,58.2,False,True,2018.0,62.0,apr,404,6,340,1,TP-1549,False
326.7,F,Low,OP-1,True,420.9,False,True,2018.0,52.7,nov,483,1,116,1,TP-1549,False
392.04,C,High,OP-17,True,6892.56,False,True,2018.0,34.1,feb,27,1,84,3,TP-1549,False
283.14,F,Low,OP-1,True,311.44,True,True,2018.0,15.5,feb,221,1,241,1,TP-1549,False
290.4,F,Low,OP-1,True,53.0,False,False,2018.0,80.6,jul,105,2,172,1,TP-1549,False
413.82,B,High,OP-1,True,1265.64,True,True,2018.0,65.1,nov,22,4,114,1,TP-1549,False
333.96,B,Low,OP-1,True,456.0,False,True,2018.0,49.6,apr,126,2,149,8,TP-1549,False
188.76,B,Mid,OP-1,True,186.12,False,False,2018.0,93.0,jan,206,5,239,3,TP-1549,False
384.78,C,Low,OP-17,True,395.94,False,True,2018.0,49.6,apr,427,1,150,1,TP-1549,False
283.14,H,Low,OP-1,True,210.82,False,True,2018.0,37.2,may,454,2,364,3,TP-1549,True
312.18,D,Mid,OP-1,True,59.24,True,True,2018.0,37.2,may,68,1,363,1,TP-1549,False
246.84,C,Mid,OP-17,True,2142.88,False,True,2018.0,62.0,apr,29,3,152,1,TP-1549,False
246.84,F,Mid,OP-1,True,143.22,False,True,2018.0,18.6,feb,154,2,197,6,TP-1549,False
559.02,L,Low,OP-4,True,229.8,True,True,2019.0,74.4,feb,513,2,89,7,TP-1549,False
275.88,H,Low,OP-4,True,1070.38,False,True,2018.0,62.0,apr,196,2,315,2,TP-1549,False
348.48,D,Low,OP-1,True,177.8,False,True,2018.0,46.5,may,830,1,352,2,TP-1549,True
217.8,D,Mid,OP-1,True,168.7,False,True,2018.0,49.6,apr,218,1,330,2,TP-1549,False
355.74,A,High,OP-17,True,255.8,True,True,2018.0,24.8,nov,148,1,871,2,TP-1549,False
225.06,C,Mid,OP-17,True,906.58,True,True,2018.0,6.2,feb,258,1,73,1,TP-1549,True
217.8,C,Low,OP-17,True,281.02,True,True,2018.0,40.3,aug,202,1,83,5,TP-1549,False
312.18,C,Mid,OP-17,True,493.96,False,True,2018.0,80.6,aug,257,1,474,3,TP-1549,True
268.62,B,Low,OP-1,True,1290.6,False,True,2018.0,24.8,may,182,2,169,2,TP-1549,False
312.18,C,High,OP-17,True,182.22,True,True,2018.0,40.3,may,66,1,363,22,TP-1549,False
196.02,H,Mid,OP-17,True,1007.72,False,True,2018.0,46.5,may,157,2,351,5,TP-1549,False
261.36,F,Low,OP-17,True,216.54,False,False,2018.0,89.9,dec,109,1,246,1,TP-1549,False
544.5,D,Low,OP-1,True,1626.78,True,True,2018.0,34.1,feb,865,2,190,1,TP-1549,False
254.1,D,Low,OP-1,True,132.3,False,True,2018.0,55.8,may,7,7,367,25,TP-1549,False
225.06,F,Mid,OP-1,True,79.52,False,True,2019.0,52.7,apr,460,2,345,2,TP-1549,False
217.8,F,Mid,OP-1,True,-82.72,False,False,2018.0,15.5,may,670,2,286,6,TP-1549,True
421.08,F,Low,OP-17,True,282.58000000000004,True,True,2018.0,55.8,aug,543,1,78,2,TP-1549,False
326.7,G,Low,OP-4,True,68.08,False,True,2019.0,40.3,may,119,3,371,3,TP-1549,False
355.74,A,Low,OP-17,True,-69.46000000000001,False,True,2018.0,62.0,nov,77,3,185,7,TP-1549,False
544.5,L,High,OP-17,True,1043.6,False,True,2018.0,49.6,nov,262,1,183,1,TP-1549,True
377.52,C,Low,OP-1,True,140.10000000000002,True,True,2018.0,65.1,oct,411,1,182,1,TP-1549,True
232.32,C,Mid,OP-17,True,3330.82,True,True,2018.0,43.4,aug,203,5,84,1,TP-1549,False
304.92,B,Low,OP-1,True,77.96000000000001,False,True,2018.0,15.5,may,238,3,340,2,TP-1549,False
275.88,E,High,OP-17,True,446.38,True,True,2018.0,21.7,may,330,1,342,1,TP-1549,False
217.8,F,Mid,OP-17,True,53.78,False,True,2018.0,18.6,may,45,2,169,2,TP-1549,False
304.92,F,Low,OP-1,True,311.44,False,True,2018.0,34.1,aug,149,1,78,5,TP-1549,True
217.8,D,Mid,OP-1,True,99.8,True,True,2018.0,43.4,jul,203,1,183,2,TP-1549,False
435.6,H,High,OP-1,True,98.24,False,True,2018.0,46.5,may,241,1,364,1,TP-1549,False
304.92,D,Low,OP-1,True,613.82,False,True,2018.0,40.3,may,149,1,364,2,TP-1549,False
246.84,C,Low,OP-17,True,483.82,False,True,2018.0,55.8,may,566,2,356,4,TP-1549,False
428.34,C,Mid,OP-1,True,227.46,False,False,2018.0,89.9,jan,219,2,259,5,TP-1549,False
261.36,A,Low,OP-1,True,-173.72,False,False,2018.0,62.0,nov,153,1,183,1,TP-1549,False
261.36,D,Mid,OP-1,True,109.94,False,False,2018.0,34.1,may,270,2,347,1,TP-1549,False
268.62,H,Low,OP-17,True,53.0,False,True,2018.0,52.7,nov,65,2,119,1,TP-1549,False
261.36,H,Mid,OP-17,True,307.8,True,True,2018.0,34.1,nov,118,4,104,7,TP-1549,False
341.22,H,Low,OP-1,True,555.84,True,False,2018.0,43.4,may,225,1,364,1,TP-1549,False
363.0,E,Low,OP-17,True,105.52,False,True,2018.0,46.5,apr,107,1,148,4,TP-1549,False
377.52,C,Low,OP-17,True,558.44,False,True,2018.0,46.5,apr,238,3,323,2,TP-1549,False
210.54,D,Low,OP-1,True,112.28,False,True,2018.0,34.1,may,12,8,342,9,TP-1549,False
290.4,B,Low,OP-17,True,62.1,True,True,2018.0,9.3,jul,318,4,317,3,TP-1549,False
254.1,C,Low,OP-1,True,241.24,False,True,2018.0,43.4,jul,287,2,415,1,TP-1549,True
529.98,L,Low,OP-4,True,259.96000000000004,True,True,2018.0,71.3,oct,427,1,182,2,TP-1549,True
261.36,B,Low,OP-1,True,506.96,False,True,2018.0,21.7,apr,15,1,316,1,TP-1549,False
319.44,D,Low,OP-1,True,185.08,False,True,2018.0,62.0,apr,222,1,154,1,TP-1549,False
254.1,D,Low,OP-1,True,1432.04,False,True,2018.0,62.0,nov,340,1,183,2,TP-1549,False
283.14,D,Low,,True,53.0,True,True,2018.0,6.2,feb,731,1,193,3,TP-1549,False
428.34,H,Low,OP-1,True,76.92,False,True,2018.0,37.2,may,139,2,350,1,TP-1549,False
406.56,H,High,,True,258.14,False,True,2018.0,24.8,may,1022,1,360,2,TP-1549,False
275.88,C,Mid,OP-17,True,62.1,False,True,2018.0,52.7,apr,156,1,273,3,TP-1549,False
333.96,C,Mid,OP-17,True,64.96000000000001,True,False,2018.0,52.7,nov,80,1,152,1,TP-1549,False
232.32,D,Low,OP-1,True,517.62,False,True,2018.0,37.2,may,87,4,357,4,TP-1549,False
333.96,D,Low,OP-4,True,91.22,False,True,2018.0,18.6,may,116,2,169,3,TP-1549,False
275.88,D,Low,OP-4,True,635.4,False,True,2018.0,58.9,nov,551,1,183,1,TP-1549,False
290.4,F,Low,OP-1,True,1207.66,False,True,2018.0,62.0,nov,153,2,183,2,TP-1549,False
275.88,G,Mid,OP-1,True,714.1800000000001,True,True,2018.0,31.0,aug,223,1,414,4,TP-1549,True
428.34,D,Low,OP-4,True,234.74,True,True,2018.0,86.8,jan,98,1,154,6,TP-1549,False
370.26,D,Low,OP-4,True,151.02,False,True,2019.0,9.3,feb,143,4,272,1,TP-1549,False
239.58,C,Low,OP-1,True,1076.1,False,True,2018.0,18.6,may,765,1,342,2,TP-1549,True
